standard_number,document_id,section,chunk_id
1910.132,OSHA-1910.132,1910.132,chunk_00001
1910.132,OSHA-1910.132,1910.132(a),chunk_00002
1910.132,OSHA-1910.132,1910.132(b),chunk_00003
1910.132,OSHA-1910.132,1910.132(c),chunk_00004
1910.132,OSHA-1910.132,1910.132(d),chunk_00005
1910.132,OSHA-1910.132,1910.132(d)(1),chunk_00006
1910.132,OSHA-1910.132,1910.132(d)(1)(i),chunk_00007
1910.132,OSHA-1910.132,1910.132(d)(1)(ii),chunk_00008
1910.132,OSHA-1910.132,1910.132(d)(1)(iii),chunk_00009
1910.132,OSHA-1910.132,1910.132(d)(2),chunk_00010
1910.132,OSHA-1910.132,1910.132(e),chunk_00011
1910.132,OSHA-1910.132,1910.132(f),chunk_00012
1910.132,OSHA-1910.132,1910.132(f)(1),chunk_00013
1910.132,OSHA-1910.132,1910.132(f)(1)(i),chunk_00014
1910.132,OSHA-1910.132,1910.132(f)(1)(ii),chunk_00015
1910.132,OSHA-1910.132,1910.132(f)(1)(iii),chunk_00016
1910.132,OSHA-1910.132,1910.132(f)(1)(iv),chunk_00017
1910.132,OSHA-1910.132,1910.132(f)(1)(v),chunk_00018
1910.132,OSHA-1910.132,1910.132(f)(2),chunk_00019
1910.132,OSHA-1910.132,1910.132(f)(3),chunk_00020
1910.132,OSHA-1910.132,1910.132(f)(3)(i),chunk_00021
1910.132,OSHA-1910.132,1910.132(f)(3)(ii),chunk_00022
1910.132,OSHA-1910.132,1910.132(f)(3)(iii),chunk_00023
1910.132,OSHA-1910.132,1910.132(g),chunk_00024
1910.132,OSHA-1910.132,1910.132(h),chunk_00025
1910.132,OSHA-1910.132,1910.132(h)(1),chunk_00026
1910.132,OSHA-1910.132,1910.132(h)(2),chunk_00027
1910.132,OSHA-1910.132,1910.132(h)(3),chunk_00028
1910.132,OSHA-1910.132,1910.132(h)(4),chunk_00029
1910.132,OSHA-1910.132,1910.132(h)(4)(i),chunk_00030
1910.132,OSHA-1910.132,1910.132(h)(4)(ii),chunk_00031
1910.132,OSHA-1910.132,1910.132(h)(4)(iii),chunk_00032
1910.132,OSHA-1910.132,1910.132(h)(5),chunk_00033
1910.132,OSHA-1910.132,1910.132(h)(6),chunk_00034
1910.132,OSHA-1910.132,1910.132(h)(7),chunk_00035
1910.133,OSHA-1910.133,1910.133,chunk_00036
1910.133,OSHA-1910.133,1910.133(a),chunk_00037
1910.133,OSHA-1910.133,1910.133(a)(1),chunk_00038
1910.133,OSHA-1910.133,1910.133(a)(2),chunk_00039
1910.133,OSHA-1910.133,1910.133(a)(3),chunk_00040
1910.133,OSHA-1910.133,1910.133(a)(4),chunk_00041
1910.133,OSHA-1910.133,1910.133(a)(5),chunk_00042
1910.133,OSHA-1910.133,1910.133(b),chunk_00043
1910.133,OSHA-1910.133,1910.133(b)(1),chunk_00044
1910.133,OSHA-1910.133,1910.133(b)(1)(i),chunk_00045
1910.133,OSHA-1910.133,1910.133(b)(1)(ii),chunk_00046
1910.133,OSHA-1910.133,1910.133(b)(1)(iii),chunk_00047
1910.133,OSHA-1910.133,1910.133(b)(2),chunk_00048
1910.134,OSHA-1910.134,1910.134,chunk_00049
1910.134,OSHA-1910.134,1910.134(a),chunk_00050
1910.134,OSHA-1910.134,1910.134(a)(1),chunk_00051
