文档编号,OSHA标准编号,标题,来源类型,来源网址,eCFR链接,生效日期,获取日期,是否为历史资料,SHA-256,文件名,片段数,字符数
OSHA-1910.132,1910.132,1910.132 - General requirements. | Occupational Safety and Health Administration,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,https://www.ecfr.gov/current/title-29/section-1910.132,"39 FR 23502, June 27, 1974",2026-08-19,否,052f1ef5658c8f38d755540ee54a22149ac4af7f3e21f8e40dce33f35f08af2c,1910.132.html,35,6538
OSHA-1910.133,1910.133,1910.133 - Eye and face protection. | Occupational Safety and Health Administration,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.133,https://www.ecfr.gov/current/title-29/section-1910.133,"59 FR 16360, April 6, 1994",2026-08-19,否,99922132bddf5d57d09e73db3a278e2ee413e168be28e53da7688ba1662bb814,1910.133.html,13,4445
OSHA-1910.134,1910.134,1910.134 - Respiratory protection. | Occupational Safety and Health Administration,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,https://www.ecfr.gov/current/title-29/section-1910.134,"63 FR 20098, April 23, 1998",2026-08-19,否,e328409969f2b1c258d7f9e9365a2f5c81f17a805ebaa864df279f261169f900,1910.134.html,212,50243
OSHA-1910.135,1910.135,1910.135 - Head protection. | Occupational Safety and Health Administration,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.135,https://www.ecfr.gov/current/title-29/section-1910.135,"59 FR 16362, April 6, 1994",2026-08-19,否,05936469cfd8d2a222560ae188d9f2b1bc6a8b8b4da83d0d7bfd567007b82fbf,1910.135.html,10,1864
OSHA-1910.136,1910.136,1910.136 - Foot protection. | Occupational Safety and Health Administration,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.136,https://www.ecfr.gov/current/title-29/section-1910.136,"59 FR 16360, April 6, 1994",2026-08-19,否,6a21d75a17f0d49654df0051614aac004f9fc8439b286b1d3b16362e9cb64563,1910.136.html,8,1983
OSHA-1910.137,1910.137,1910.137 - Electrical Protective Equipment. | Occupational Safety and Health Administration,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.137,https://www.ecfr.gov/current/title-29/section-1910.137,"59 FR 33658, June 30, 1994",2026-08-19,否,8fbdebc4fc2a6646586a5be51e7d606e2b19a938d05ed22132bb3a54ef74810a,1910.137.html,65,19589
OSHA-1910.138,1910.138,1910.138 - Hand protection. | Occupational Safety and Health Administration,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.138,https://www.ecfr.gov/current/title-29/section-1910.138,"59 FR 33911, July 1, 1994",2026-08-19,否,401d1983e1becfcc24e05efaf766dd2b30d613f4816bef284effcd3bff06b0e6,1910.138.html,3,1055
OSHA-1910.147,1910.147,1910.147 - The control of hazardous energy (lockout/tagout). | Occupational Safety and Health Administration,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147,https://www.ecfr.gov/current/title-29/section-1910.147,"54 FR 36687, Sept. 1, 1989, as amended at 54 FR 42498, Oct. 17, 1989; 55 FR 38685, 38686, Sept. 20, 1990; 61 FR 5507, Feb. 13, 1996; 76 24698, May 2, 2011",2026-08-19,否,d9734549be4c275cff9f0395db814a1dd31fbbf996ca9d197d4483d42a006e36,1910.147.html,121,29445
OSHA-1910.269,1910.269,"1910.269 - Electric power generation, transmission, and distribution. | Occupational Safety and Health Administration",法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.269,https://www.ecfr.gov/current/title-29/section-1910.269,"79 FR 56960, September 24, 2014",2026-08-19,否,e21e4cddc9a9b43366dc399cfd7266537ca1b6c6864a6e51bd786e32220ef7aa,1910.269.html,697,194631
OSHA-1910.301,1910.301,1910.301 - Introduction. | Occupational Safety and Health Administration,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.301,https://www.ecfr.gov/current/title-29/section-1910.301,"46 FR 4056, Jan. 16, 1982; 46 FR 40185, Aug. 7, 1981",2026-08-19,否,1ed21a061c274b8c2530402ac20166611058285a9736ebe1c9fc498950f5f3ba,1910.301.html,6,1522
OSHA-1910.302,1910.302,1910.302 - Electric utilization systems. | Occupational Safety and Health Administration,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.302,https://www.ecfr.gov/current/title-29/section-1910.302,"46 FR 4056, Jan. 16, 1981; 46 FR 40185, Aug. 7, 1981; 72 FR 7190, Feb. 14, 2007",2026-08-19,否,2580509dbbe38cc6a431d55183eb9c714b0978eeda22dde010f9e62a5e40e1ba,1910.302.html,23,7996
OSHA-1910.303,1910.303,1910.303 - General. | Occupational Safety and Health Administration,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.303,https://www.ecfr.gov/current/title-29/section-1910.303,"46 FR 4056, Jan. 16, 1981, as amended at 73 FR 64205, Oct. 29, 2008",2026-08-19,否,dd8dd23d77369e4aa7e16773451e80c06398f01eb7993d47776636cb22024369,1910.303.html,115,28396
