gold_standard(mapping_key),canonical,chunk_id,section
1910.0146,1910.146,chunk_09582,1910.146
1910.0146,1910.146,chunk_09583,1910.146(a)
1910.0146,1910.146,chunk_09584,1910.146(b)
1910.0146,1910.146,chunk_09585,1910.146
1910.0146,1910.146,chunk_09586,1910.146
1910.0146,1910.146,chunk_09587,1910.146
1910.0146,1910.146,chunk_09588,1910.146
1910.0146,1910.146,chunk_09589,1910.146
1910.0146,1910.146,chunk_09590,1910.146(1)
1910.0146,1910.146,chunk_09591,1910.146(2)
1910.0146,1910.146,chunk_09592,1910.146(3)
1910.0146,1910.146,chunk_09593,1910.146
1910.0146,1910.146,chunk_09594,1910.146
1910.0146,1910.146,chunk_09595,1910.146
1910.0146,1910.146,chunk_09596,1910.146
1910.0146,1910.146,chunk_09597,1910.146
1910.0146,1910.146,chunk_09598,1910.146
1910.0146,1910.146,chunk_09599,1910.146
1910.0146,1910.146,chunk_09600,1910.146
1910.0146,1910.146,chunk_09601,1910.146(1)
1910.0146,1910.146,chunk_09602,1910.146(2)
1910.0146,1910.146,chunk_09603,1910.146
1910.0146,1910.146,chunk_09604,1910.146(3)
1910.0146,1910.146,chunk_09605,1910.146(4)
1910.0146,1910.146,chunk_09606,1910.146
1910.0146,1910.146,chunk_09607,1910.146(5)
1910.0146,1910.146,chunk_09608,1910.146
1910.0146,1910.146,chunk_09609,1910.146
1910.0146,1910.146,chunk_09610,1910.146
1910.0146,1910.146,chunk_09611,1910.146
1910.0146,1910.146,chunk_09612,1910.146
1910.0146,1910.146,chunk_09613,1910.146
1910.0146,1910.146,chunk_09614,1910.146
1910.0146,1910.146,chunk_09615,1910.146
1910.0146,1910.146,chunk_09616,1910.146
1910.0146,1910.146,chunk_09617,1910.146
1910.0146,1910.146,chunk_09618,1910.146
1910.0146,1910.146,chunk_09619,1910.146
1910.0146,1910.146,chunk_09620,1910.146(1)
1910.0146,1910.146,chunk_09621,1910.146(2)
1910.0146,1910.146,chunk_09622,1910.146(3)
1910.0146,1910.146,chunk_09623,1910.146(4)
1910.0146,1910.146,chunk_09624,1910.146
1910.0146,1910.146,chunk_09625,1910.146
1910.0146,1910.146,chunk_09626,1910.146
1910.0146,1910.146,chunk_09627,1910.146
1910.0146,1910.146,chunk_09628,1910.146
1910.0146,1910.146,chunk_09629,1910.146
1910.0146,1910.146,chunk_09630,1910.146
1910.0146,1910.146,chunk_09631,1910.146(c)
1910.0146,1910.146,chunk_09632,1910.146
1910.0146,1910.146,chunk_09633,1910.146(2)
1910.0146,1910.146,chunk_09634,1910.146
1910.0146,1910.146,chunk_09635,1910.146(3)
1910.0146,1910.146,chunk_09636,1910.146(4)
1910.0146,1910.146,chunk_09637,1910.146(5)
1910.0146,1910.146,chunk_09638,1910.146(i)
1910.0146,1910.146,chunk_09639,1910.146
1910.0146,1910.146,chunk_09640,1910.146
1910.0146,1910.146,chunk_09641,1910.146
1910.0146,1910.146,chunk_09642,1910.146
1910.0146,1910.146,chunk_09643,1910.146
1910.0146,1910.146,chunk_09644,1910.146
1910.0146,1910.146,chunk_09645,1910.146
1910.0146,1910.146,chunk_09646,1910.146(ii)
1910.0146,1910.146,chunk_09647,1910.146
1910.0146,1910.146,chunk_09648,1910.146
1910.0146,1910.146,chunk_09649,1910.146
1910.0146,1910.146,chunk_09650,1910.146
1910.0146,1910.146,chunk_09651,1910.146
1910.0146,1910.146,chunk_09652,1910.146(1)
1910.0146,1910.146,chunk_09653,1910.146(2)
1910.0146,1910.146,chunk_09654,1910.146(3)
1910.0146,1910.146,chunk_09655,1910.146
1910.0146,1910.146,chunk_09656,1910.146
1910.0146,1910.146,chunk_09657,1910.146(1)
1910.0146,1910.146,chunk_09658,1910.146(2)
1910.0146,1910.146,chunk_09659,1910.146(3)
1910.0146,1910.146,chunk_09660,1910.146
1910.0146,1910.146,chunk_09661,1910.146(6)
1910.0146,1910.146,chunk_09662,1910.146(7)
1910.0146,1910.146,chunk_09663,1910.146(i)
1910.0146,1910.146,chunk_09664,1910.146(ii)
1910.0146,1910.146,chunk_09665,1910.146
1910.0146,1910.146,chunk_09666,1910.146(iii)
1910.0146,1910.146,chunk_09667,1910.146(iv)
1910.0146,1910.146,chunk_09668,1910.146(8)
1910.0146,1910.146,chunk_09669,1910.146(i)
1910.0146,1910.146,chunk_09670,1910.146(ii)
1910.0146,1910.146,chunk_09671,1910.146(iii)
1910.0146,1910.146,chunk_09672,1910.146(iv)
1910.0146,1910.146,chunk_09673,1910.146(v)
1910.0146,1910.146,chunk_09674,1910.146(9)
1910.0146,1910.146,chunk_09675,1910.146(i)
1910.0146,1910.146,chunk_09676,1910.146(ii)
1910.0146,1910.146,chunk_09677,1910.146(iii)
1910.0146,1910.146,chunk_09678,1910.146(d)
1910.0146,1910.146,chunk_09679,1910.146(1)
1910.0146,1910.146,chunk_09680,1910.146(2)
1910.0146,1910.146,chunk_09681,1910.146(3)
1910.0146,1910.146,chunk_09682,1910.146(i)
1910.0146,1910.146,chunk_09683,1910.146(ii)
1910.0146,1910.146,chunk_09684,1910.146(iii)
1910.0146,1910.146,chunk_09685,1910.146(iv)
1910.0146,1910.146,chunk_09686,1910.146(v)
1910.0146,1910.146,chunk_09687,1910.146(vi)
1910.0146,1910.146,chunk_09688,1910.146(4)
1910.0146,1910.146,chunk_09689,1910.146(i)
1910.0146,1910.146,chunk_09690,1910.146(ii)
1910.0146,1910.146,chunk_09691,1910.146(iii)
1910.0146,1910.146,chunk_09692,1910.146(iv)
1910.0146,1910.146,chunk_09693,1910.146(v)
1910.0146,1910.146,chunk_09694,1910.146(vi)
1910.0146,1910.146,chunk_09695,1910.146(vii)
1910.0146,1910.146,chunk_09696,1910.146(viii)
1910.0146,1910.146,chunk_09697,1910.146(ix)
1910.0146,1910.146,chunk_09698,1910.146(5)
1910.0146,1910.146,chunk_09699,1910.146(i)
1910.0146,1910.146,chunk_09700,1910.146(ii)
1910.0146,1910.146,chunk_09701,1910.146(iii)
1910.0146,1910.146,chunk_09702,1910.146(iv)
1910.0146,1910.146,chunk_09703,1910.146(v)
1910.0146,1910.146,chunk_09704,1910.146(vi)
1910.0146,1910.146,chunk_09705,1910.146
1910.0146,1910.146,chunk_09706,1910.146(6)
1910.0146,1910.146,chunk_09707,1910.146
1910.0146,1910.146,chunk_09708,1910.146(7)
1910.0146,1910.146,chunk_09709,1910.146(8)
1910.0146,1910.146,chunk_09710,1910.146(9)
1910.0146,1910.146,chunk_09711,1910.146(10)
1910.0146,1910.146,chunk_09712,1910.146(11)
1910.0146,1910.146,chunk_09713,1910.146(12)
1910.0146,1910.146,chunk_09714,1910.146(13)
1910.0146,1910.146,chunk_09715,1910.146
1910.0146,1910.146,chunk_09716,1910.146(14)
1910.0146,1910.146,chunk_09717,1910.146
1910.0146,1910.146,chunk_09718,1910.146(e)
1910.0146,1910.146,chunk_09719,1910.146
1910.0146,1910.146,chunk_09720,1910.146(2)
1910.0146,1910.146,chunk_09721,1910.146(3)
1910.0146,1910.146,chunk_09722,1910.146(4)
1910.0146,1910.146,chunk_09723,1910.146(5)
1910.0146,1910.146,chunk_09724,1910.146(i)
1910.0146,1910.146,chunk_09725,1910.146(ii)
1910.0146,1910.146,chunk_09726,1910.146(6)
1910.0146,1910.146,chunk_09727,1910.146(f)
1910.0146,1910.146,chunk_09728,1910.146(1)
1910.0146,1910.146,chunk_09729,1910.146(2)
1910.0146,1910.146,chunk_09730,1910.146(3)
1910.0146,1910.146,chunk_09731,1910.146(4)
1910.0146,1910.146,chunk_09732,1910.146
1910.0146,1910.146,chunk_09733,1910.146(5)
1910.0146,1910.146,chunk_09734,1910.146(6)
1910.0146,1910.146,chunk_09735,1910.146(7)
1910.0146,1910.146,chunk_09736,1910.146(8)
1910.0146,1910.146,chunk_09737,1910.146
1910.0146,1910.146,chunk_09738,1910.146(9)
1910.0146,1910.146,chunk_09739,1910.146(10)
1910.0146,1910.146,chunk_09740,1910.146(11)
1910.0146,1910.146,chunk_09741,1910.146(12)
1910.0146,1910.146,chunk_09742,1910.146(13)
1910.0146,1910.146,chunk_09743,1910.146(14)
1910.0146,1910.146,chunk_09744,1910.146(15)
1910.0146,1910.146,chunk_09745,1910.146(g)
1910.0146,1910.146,chunk_09746,1910.146(2)
1910.0146,1910.146,chunk_09747,1910.146(i)
1910.0146,1910.146,chunk_09748,1910.146(ii)
1910.0146,1910.146,chunk_09749,1910.146(iii)
1910.0146,1910.146,chunk_09750,1910.146(iv)
1910.0146,1910.146,chunk_09751,1910.146(3)
1910.0146,1910.146,chunk_09752,1910.146(4)
1910.0146,1910.146,chunk_09753,1910.146(h)
1910.0146,1910.146,chunk_09754,1910.146(1)
1910.0146,1910.146,chunk_09755,1910.146(2)
1910.0146,1910.146,chunk_09756,1910.146(3)
1910.0146,1910.146,chunk_09757,1910.146(4)
1910.0146,1910.146,chunk_09758,1910.146(i)
