sample_id,entity_proxy_id,quarter,episode_open_date,episode_last_open_date,activity_nrs,activity_count,context_activity_nr,candidate_naics_group,candidate_site_state,label,label_available_date,has_unclosed_component,split,maturity_boundary,is_mature_at_as_of,is_mature_for_use
bd9c105e9b107348fc1b,000211d7d94ded5c5d3e81a5,2017Q1,2017-02-09,2017-02-09,342113784,1,342113784,2211_other,HI,1.0,2017-04-27,False,train,2024-01-01 00:00:00.000000,True,True
b675956474e55abc1e96,0008f5930ec331b925b55345,2025Q3,2025-07-22,2025-07-22,348392903,1,348392903,221122,TX,,,False,test,2026-08-15 06:41:46.741079,True,True
2888948246bd979d2588,000b0e00b29ad1c96daf468c,2015Q4,2015-12-10,2015-12-10,341114312,1,341114312,238210,TN,1.0,2016-01-22,False,train,2024-01-01 00:00:00.000000,True,True
6f7aa05bff8246a8c6a9,000d43ffc32285f6bb9cfb91,2018Q1,2018-01-11,2018-01-11,342875325,1,342875325,238210,MI,1.0,2018-04-05,False,train,2024-01-01 00:00:00.000000,True,True
2a103d1a42350074e9bc,000d43ffc32285f6bb9cfb91,2019Q1,2019-02-13,2019-02-13,343782041,1,343782041,238210,MI,1.0,2019-05-12,False,train,2024-01-01 00:00:00.000000,True,True
647585d928c1b1b6e978,000d43ffc32285f6bb9cfb91,2021Q1,2021-02-10,2021-02-10,345144596,1,345144596,238210,MI,1.0,2021-05-02,False,train,2024-01-01 00:00:00.000000,True,True
152ed941536bbd0f6a6d,000fcac29be6b5997a01f705,2019Q2,2019-04-16,2019-04-16,343940433,1,343940433,238210,VA,1.0,2019-07-06,False,train,2024-01-01 00:00:00.000000,True,True
1e0037675f054765c7cb,000fcac29be6b5997a01f705,2020Q4,2020-10-07,2020-10-07,344966015,1,344966015,238210,VA,1.0,2021-04-01,False,train,2024-01-01 00:00:00.000000,True,True
0d7a7c7604b5a576de18,001be84b3e8408a5d4b2d294,2020Q1,2020-02-14,2020-02-14,344630371,1,344630371,238210,VA,0.0,2020-09-11,False,train,2024-01-01 00:00:00.000000,True,True
b8d84b54f6e8b12983a5,00486ac41d88b944f834f162,2017Q4,2017-10-17,2017-10-17,342742004,1,342742004,238210,MI,0.0,2018-05-15,False,train,2024-01-01 00:00:00.000000,True,True
b1c08c630feed2502475,0048be5d392a64711c52363b,2020Q2,2020-04-21,2020-04-21,344742861,1,344742861,238210,MN,1.0,2020-06-27,False,train,2024-01-01 00:00:00.000000,True,True
aa93dedee997a3261498,0056b720593ce2ea2f95bde2,2015Q3,2015-09-24,2015-09-24,340946623,1,340946623,238210,VA,0.0,2016-04-21,False,train,2024-01-01 00:00:00.000000,True,True
c95022d47d858a817520,0056b720593ce2ea2f95bde2,2018Q1,2018-03-29,2018-03-29,343052296,1,343052296,238210,VA,1.0,2018-05-03,False,train,2024-01-01 00:00:00.000000,True,True
6715d453f016254feb68,0056b720593ce2ea2f95bde2,2019Q1,2019-01-10,2019-01-10,343707147,1,343707147,238210,VA,1.0,2019-03-06,False,train,2024-01-01 00:00:00.000000,True,True
a0af527e84b87bd021a5,0056b720593ce2ea2f95bde2,2022Q3,2022-09-21,2022-09-21,346242274,1,346242274,238210,VA,0.0,2023-04-19,False,validation,2024-01-01 00:00:00.000000,True,True
33758450dc38676f0040,005a8b5984828e9ea0b480b2,2015Q1,2015-03-16,2015-03-16,340472430,1,340472430,238210,VA,0.0,2015-10-12,False,train,2024-01-01 00:00:00.000000,True,True
63783dd651d2d9aca775,0064eca7d71aa7ae86a9203e,2021Q1,2021-03-05,2021-03-05,345181440,1,345181440,238210,TX,1.0,2021-06-18,False,train,2024-01-01 00:00:00.000000,True,True
50c0a3f8a48365cd1528,006cead470efa752fce5afa4,2021Q4,2021-10-15,2021-10-15,345580518,1,345580518,238210,MI,0.0,2022-05-13,False,train,2024-01-01 00:00:00.000000,True,True
d6be69f1d91dcd8d3d51,0084b7f1ceacc021dd823573,2017Q2,2017-06-28,2017-06-28,342431962,1,342431962,238210,IL,1.0,2017-09-08,False,train,2024-01-01 00:00:00.000000,True,True
1cca26573d0d44b5a207,00870b0e1c491c3e7974ccaa,2016Q2,2016-04-29,2016-04-29,341439305,1,341439305,237130,WA,0.0,2016-11-25,False,train,2024-01-01 00:00:00.000000,True,True
e8d8ec5673769d1f9139,008b41eb388dd9bafaefccb6,2015Q1,2015-02-23,2015-02-23,340417666,1,340417666,237130,MI,0.0,2015-09-21,False,train,2024-01-01 00:00:00.000000,True,True
4525eef97496eb017f1a,009530d55de6e2374e02ab60,2020Q2,2020-06-09,2020-06-09,344788799,1,344788799,238210,SC,1.0,2020-08-16,False,train,2024-01-01 00:00:00.000000,True,True
e245550ea4ed0e9bf411,00957ba8126df08c469501cf,2015Q2,2015-05-13,2015-05-13,340628247,1,340628247,238210,NY,1.0,2015-06-21,False,train,2024-01-01 00:00:00.000000,True,True
9dd32d5af8002d94bb1c,00957ba8126df08c469501cf,2016Q4,2016-10-26,2016-10-26,341872059,1,341872059,238210,NY,1.0,2017-02-16,False,train,2024-01-01 00:00:00.000000,True,True
03fb7955b02612f499a0,00957ba8126df08c469501cf,2017Q1,2017-02-09,2017-02-09,342097862,1,342097862,238210,NY,1.0,2017-04-13,False,train,2024-01-01 00:00:00.000000,True,True
1885d8ddde4acdea2567,00957ba8126df08c469501cf,2017Q4,2017-10-31,2017-10-31,342749017,1,342749017,238210,NY,1.0,2017-12-07,False,train,2024-01-01 00:00:00.000000,True,True
2eaf539af5c5253339bd,00957ba8126df08c469501cf,2019Q2,2019-05-21,2019-05-21,344032115,1,344032115,238210,NY,1.0,2019-08-10,False,train,2024-01-01 00:00:00.000000,True,True
46a4d8c1c7d139acf497,00957ba8126df08c469501cf,2019Q3,2019-08-16,2019-08-16,344251970,1,344251970,238210,NY,1.0,2019-10-30,False,train,2024-01-01 00:00:00.000000,True,True
6a26f77c828d0a76d0ca,00957ba8126df08c469501cf,2019Q4,2019-11-21,2019-11-21,344466248,1,344466248,238210,NY,1.0,2020-03-21,False,train,2024-01-01 00:00:00.000000,True,True
7e49c8970bf954f7ef46,009ce868e001227d361ebc98,2018Q2,2018-04-04,2018-04-04,343063772,1,343063772,238210,MI,1.0,2018-05-27,False,train,2024-01-01 00:00:00.000000,True,True
e2c57048f40ad3d7ea10,00b1fb26adc6c6ace05a05a9,2019Q2,2019-06-20,2019-06-20,344099270,1,344099270,238210,GA,1.0,2019-08-02,False,train,2024-01-01 00:00:00.000000,True,True
4e40c50721512bf69813,00fb7f27b84bd7015ba706e7,2018Q2,2018-05-10,2018-05-10,343239166,1,343239166,238210,MI,1.0,2018-08-25,False,train,2024-01-01 00:00:00.000000,True,True
352fbd256224abb7d746,0109eaffb9c2dd059f73f8b3,2022Q4,2022-11-16,2022-11-16,346358898,1,346358898,238210,MI,1.0,2023-02-03,False,validation,2024-01-01 00:00:00.000000,True,True
6e2b2c91b987212d24d0,015592647edddd6cb1aa03c4,2025Q1,2025-01-14,2025-01-14,347974743,1,347974743,238210,MI,,,False,test,2026-08-15 06:41:46.741079,True,True
4025d17f72e50d8e4d9a,0157731cb4f8440d363e47a4,2015Q2,2015-06-03,2015-06-03,340706092,1,340706092,238210,SD,0.0,2015-12-30,False,train,2024-01-01 00:00:00.000000,True,True
1f3cac21366ee15a11cb,015eb2c029b416f34412f252,2017Q2,2017-04-05,2017-04-05,342232717,1,342232717,238210,MD,0.0,2017-11-01,False,train,2024-01-01 00:00:00.000000,True,True
96b9b2a2474b1256e0b0,015eb2c029b416f34412f252,2021Q1,2021-03-10,2021-03-10,345192611,1,345192611,238210,MD,1.0,2021-07-03,False,train,2024-01-01 00:00:00.000000,True,True
750e0a044b575b6a9e43,015eb2c029b416f34412f252,2024Q4,2024-10-09,2024-10-09,347811580,1,347811580,238210,MD,,,False,test,2026-08-15 06:41:46.741079,True,True
a0a31eca3d3b6cbe26e2,01600a6a5643701ef58ed440,2021Q2,2021-04-26,2021-04-26,345280317,1,345280317,238210,IL,0.0,2021-11-22,False,train,2024-01-01 00:00:00.000000,True,True
7e02c54c65d58b102177,016e8f2e3a17fd00440147f4,2021Q4,2021-11-05,2021-11-05,345623656,1,345623656,237130,TX,1.0,2022-04-24,False,train,2024-01-01 00:00:00.000000,True,True
3f8f93345bd08d13661b,017365c0a316685e1884bf49,2018Q1,2018-03-14,2018-03-14,343019964,1,343019964,238210,NY,1.0,2018-04-19,False,train,2024-01-01 00:00:00.000000,True,True
3e61529993faa3510cf2,017ea2e16996f20122b0e162,2015Q3,2015-07-17,2015-07-17,340784347,1,340784347,238210,GA,1.0,2015-11-07,False,train,2024-01-01 00:00:00.000000,True,True
6ccf8714ed09723c3fab,01aecfa0099776cf3a1b1c21,2024Q2,2024-05-30,2024-05-30,347517377,1,347517377,238210,MI,,,False,test,2026-08-15 06:41:46.741079,True,True
cb11efde18b7fce72db0,01aecfa0099776cf3a1b1c21,2024Q4,2024-12-09,2024-12-09,347921918,1,347921918,238210,MI,,,False,test,2026-08-15 06:41:46.741079,True,True
69d563291a031a4763ea,01b9a34cfa0cfcf389efdf06,2017Q3,2017-08-17,2017-08-17,342556040,1,342556040,238210,MI,1.0,2017-10-20,False,train,2024-01-01 00:00:00.000000,True,True
c320a7bc031aa4104ffe,01c113be1a1c24979b3d87c0,2017Q2,2017-05-30,2017-05-30,342362365|342362373,2,342362365,238210,HI,1.0,2017-08-16,False,train,2024-01-01 00:00:00.000000,True,True
30faaf9ecdb39785322b,01c17ae908af8cec0fdbebe5,2021Q1,2021-03-11,2021-03-11,345194534,1,345194534,238210,WA,0.0,2021-10-07,False,train,2024-01-01 00:00:00.000000,True,True
d31b8fb8f863ad6cdc41,01c7d15d14a28bfadb983587,2016Q2,2016-04-13,2016-04-13,341403467,1,341403467,238210,SC,1.0,2016-06-19,False,train,2024-01-01 00:00:00.000000,True,True
575f3aa877128e79b415,01c9a7b712d70d3939c433a0,2024Q1,2024-03-11,2024-03-11,347337420,1,347337420,238210,OH,,,False,test,2026-08-15 06:41:46.741079,True,True
c519ee4c5a2f5b4e7fa9,01d20c89ce62afd67e355f5b,2025Q3,2025-08-07,2025-08-07,348429804,1,348429804,238210,TX,,,False,test,2026-08-15 06:41:46.741079,True,True
a831354a507f44157877,01d7df888bbf9b61555be1ef,2023Q1,2023-02-08,2023-02-08,346489826,1,346489826,238210,NY,1.0,2023-04-19,False,validation,2024-01-01 00:00:00.000000,True,True
f91e369a2b0c5eb1ee6d,01e8c0264232a2b48d18afff,2020Q3,2020-07-30,2020-07-30,344859913,1,344859913,238210,MI,0.0,2021-02-25,False,train,2024-01-01 00:00:00.000000,True,True
a5e7b9b35b42a56fb4b2,01f4cb8a738521d7419ed189,2015Q4,2015-11-24,2015-11-24,341078640,1,341078640,238210,MI,0.0,2016-06-21,False,train,2024-01-01 00:00:00.000000,True,True
04e05cb692c6e0beed0d,01f6b122c9213e1dbd812385,2016Q2,2016-04-07,2016-04-07,341386340,1,341386340,238210,SC,1.0,2016-07-06,False,train,2024-01-01 00:00:00.000000,True,True
18a07926ae7b9aae04cb,01ff0de6556620b9f16a66b6,2015Q4,2015-11-30,2015-11-30,341094472,1,341094472,237130,NY,1.0,2016-04-02,False,train,2024-01-01 00:00:00.000000,True,True
170640b85b676ac3e979,02027ea64597a5a9ebd226bc,2017Q2,2017-05-24,2017-05-24,342351095,1,342351095,237130,MI,1.0,2017-07-07,False,train,2024-01-01 00:00:00.000000,True,True
c7ac2815fb90e8371fda,020eb4cd107c165b7faf769b,2020Q1,2020-01-07,2020-01-07,344554480,1,344554480,238210,SC,0.0,2020-08-04,False,train,2024-01-01 00:00:00.000000,True,True
a2bea4bb4ab828d6e16a,021430f3e8e5a207da78cf91,2016Q2,2016-04-04,2016-04-04,341416865,1,341416865,238210,NC,0.0,2016-10-31,False,train,2024-01-01 00:00:00.000000,True,True
91584cba9a325d0ac5a0,022280ca76bdf6c855b3cdb0,2025Q1,2025-03-05,2025-03-05,348084138,1,348084138,238210,OR,,,True,test,2026-08-15 06:41:46.741079,True,True
991e2faf7f9ed0b136cf,02245efb058a0404b7a267bc,2017Q1,2017-03-15,2017-03-15,342184041,1,342184041,238210,IL,1.0,2017-06-21,False,train,2024-01-01 00:00:00.000000,True,True
3d35a0abe9777382a2f9,022a59ddf3a3bbe2e30bbe5e,2017Q4,2017-12-27,2017-12-27,342851516,1,342851516,238210,WA,1.0,2018-02-17,False,train,2024-01-01 00:00:00.000000,True,True
4d71d5831d6df0eed189,02325815b8edc14202a6345b,2019Q3,2019-09-12,2019-09-12,344305966,1,344305966,238210,NJ,0.0,2020-04-09,False,train,2024-01-01 00:00:00.000000,True,True
95f9a9c5be1daf343ceb,02342cf75abfd93f1aff2eab,2017Q3,2017-09-27,2017-09-27,342665577,1,342665577,238210,MN,1.0,2018-04-01,False,train,2024-01-01 00:00:00.000000,True,True
244252a4370f5f7254c0,023950952cdc997d5861813f,2022Q3,2022-08-09,2022-08-09,346142318,1,346142318,238210,WV,0.0,2023-03-07,False,validation,2024-01-01 00:00:00.000000,True,True
f59fc5890d9d9eaf46bf,023d9aa40fc65d81cef8c810,2017Q2,2017-05-02,2017-05-02,342308921,1,342308921,238210,MI,1.0,2017-07-09,False,train,2024-01-01 00:00:00.000000,True,True
4b12c4419892bcd328ec,023d9aa40fc65d81cef8c810,2022Q1,2022-02-16,2022-02-16,345785356,1,345785356,238210,MI,1.0,2022-04-24,False,validation,2024-01-01 00:00:00.000000,True,True
