split,quarter,n,entities,mean_history
train,2015Q1,226,226,0.33185840707964603
train,2015Q2,253,253,0.20553359683794467
train,2015Q3,231,231,0.3203463203463203
train,2015Q4,192,192,0.234375
train,2016Q1,229,229,0.37117903930131
train,2016Q2,207,207,0.3188405797101449
train,2016Q3,135,135,0.17037037037037037
train,2016Q4,174,174,0.4367816091954023
train,2017Q1,232,232,0.625
train,2017Q2,208,208,0.42788461538461536
train,2017Q3,187,187,0.5401069518716578
train,2017Q4,163,163,0.3619631901840491
train,2018Q1,200,200,0.43
train,2018Q2,159,159,0.5220125786163522
train,2018Q3,193,193,0.5181347150259067
train,2018Q4,171,171,0.5497076023391813
train,2019Q1,183,183,0.639344262295082
train,2019Q2,202,202,0.698019801980198
train,2019Q3,162,162,0.5246913580246914
train,2019Q4,162,162,0.7530864197530864
train,2020Q1,172,172,0.6046511627906976
train,2020Q2,61,61,0.6065573770491803
train,2020Q3,65,65,0.46153846153846156
train,2020Q4,74,74,0.47297297297297297
train,2021Q1,119,119,0.6302521008403361
train,2021Q2,112,112,0.8482142857142857
train,2021Q3,96,96,0.71875
train,2021Q4,88,88,0.9886363636363636
validation,2022Q1,130,130,0.6538461538461539
validation,2022Q2,136,136,0.6323529411764706
validation,2022Q3,172,172,0.5755813953488372
validation,2022Q4,102,102,0.7549019607843137
validation,2023Q1,141,141,0.44680851063829785
