method,bin,n,mean_score,observed_rate
R0,"(0.1, 0.2]",12,0.18665223665223665,0.4166666666666667
R0,"(0.2, 0.3]",10,0.24801587301587302,0.3
R0,"(0.3, 0.4]",48,0.3439236111111111,0.4583333333333333
R0,"(0.4, 0.5]",505,0.4998899889988999,0.6217821782178218
R0,"(0.5, 0.6]",11,0.5846517119244391,0.6363636363636364
R0,"(0.6, 0.7]",77,0.6655844155844154,0.6623376623376623
R0,"(0.7, 0.8]",16,0.7665178571428573,0.75
R0,"(0.8, 0.9]",2,0.8452380952380952,1.0
M1,"(0.1, 0.2]",6,0.14370654687263681,0.5
M1,"(0.2, 0.3]",26,0.2538232242755741,0.46153846153846156
M1,"(0.3, 0.4]",34,0.35456468100300703,0.5
M1,"(0.4, 0.5]",39,0.4473649514698829,0.5897435897435898
M1,"(0.5, 0.6]",355,0.5714879163650636,0.5943661971830986
M1,"(0.6, 0.7]",181,0.6045802728537957,0.6464088397790055
M1,"(0.7, 0.8]",11,0.751220922726068,0.7272727272727273
M1,"(0.8, 0.9]",29,0.8540959006459212,0.8620689655172413
M2,"(0.1, 0.2]",4,0.15888018296657125,0.5
M2,"(0.2, 0.3]",21,0.2620173201143569,0.19047619047619047
M2,"(0.3, 0.4]",29,0.3407612785560975,0.5862068965517241
M2,"(0.4, 0.5]",62,0.4549025502404199,0.6451612903225806
M2,"(0.5, 0.6]",348,0.5729781016141724,0.5919540229885057
M2,"(0.6, 0.7]",176,0.6033075142689301,0.6477272727272727
M2,"(0.7, 0.8]",13,0.7591325406857072,0.6923076923076923
M2,"(0.8, 0.9]",28,0.8541138309413201,0.8571428571428571
