activity_nr,entity_proxy_id,open_date,naics_group,site_state,insp_type,outcome_positive,outcome_available_time
109179945,f5f2b1a0218d4a8583497969,2010-02-07,221122,CT,G,1,2010-09-02
109179994,3554740cb6b341e269c8c4dd,2010-02-26,238210,CT,G,1,2010-09-02
109180000,0e00ba99fc507c52983e82e2,2010-02-07,238210,CT,A,1,2010-09-02
110586757,7aa95c20178e1da29e901304,2010-09-23,221122,GU,H,1,2011-02-20
112525019,f7b72320eeb58d1ab6621f2e,2010-03-29,238210,ME,G,1,2010-05-01
112526710,a05c0458ae0db4698393e49c,2010-03-04,238210,ME,I,1,2010-04-14
112526868,df7f3e4ab5ab526d8fa45518,2010-04-19,238210,ME,H,1,2010-05-30
112527429,df7f3e4ab5ab526d8fa45518,2010-09-20,238210,ME,H,0,2011-04-18
112527494,55c7fd50d15d7fa1708fcafc,2010-09-02,238210,ME,I,0,2011-03-31
112527825,f00f400370adf54dd0bab52f,2011-01-11,238210,ME,I,1,2011-02-25
112989835,825946dc34232005e17c5072,2010-08-03,238210,PA,G,1,2010-10-03
113739460,0da3306c0042706c43b15041,2010-11-08,238210,PA,H,1,2011-01-09
113740419,44d49d6d39a37821afeb37cf,2011-06-03,238210,PA,H,1,2011-07-29
113740583,8bb6d899cf5655eef0032550,2011-09-14,238210,PA,H,0,2012-04-11
116210808,704309949d553dc16062eb93,2010-06-07,238210,PA,H,1,2010-07-29
116210824,061be667455f7ca60f9b9d3b,2010-06-16,238210,PA,K,1,2010-08-21
116210840,8c25f25401deaff2a6b723f7,2010-05-17,238210,PA,H,1,2010-07-28
116210980,45565947971dcc7af8a3e27d,2010-03-02,238210,PA,H,1,2010-05-02
116211111,dfa1ee1954c65c1b6f4ed46b,2010-03-15,238210,PA,H,1,2010-05-02
116211475,5bbebd9dbd4ffc52696ad246,2010-12-07,238210,PA,H,1,2011-02-09
116211517,631f9bb89e4d110c558a891d,2010-12-10,238210,PA,H,1,2011-03-13
116211525,631f9bb89e4d110c558a891d,2011-01-05,238210,PA,H,1,2011-03-06
116211582,5bbebd9dbd4ffc52696ad246,2010-11-05,238210,PA,H,1,2011-01-02
116215096,8bb6d899cf5655eef0032550,2011-01-27,238210,PA,H,1,2011-04-29
119680221,30f3d5c05c74c92555b75711,2012-02-08,238210,CA,A,1,2012-06-06
119917185,67b117930db6b3c9c9042e27,2010-05-13,238210,CA,H,0,2010-12-09
119917268,ec6b07ef755a37f404d0e176,2010-06-15,238210,CA,A,0,2011-01-11
119917292,13fdcd25845b1a5f929fe2e0,2010-07-07,237130,CA,H,1,2010-10-09
119917300,78516b00b00f53f449725f3c,2010-07-07,237130,CA,H,0,2011-02-02
119917722,8388b881ed67ad69a8be01cb,2010-06-21,238210,CA,H,0,2011-01-17
119918258,f62980c7f48dd8e4ccfc1cb1,2011-01-13,238210,CA,A,0,2011-08-11
119918381,ca6b43e7ae93544a2a4d9fce,2011-02-02,238210,CA,H,0,2011-08-31
119918449,b564c66412997dcf163bfdcb,2011-04-08,238210,CA,A,0,2011-11-04
119918944,c6b65d3d728e146acfeea204,2011-10-13,238210,CA,H,0,2012-05-10
119919124,4209ecdec5926596e6711539,2011-08-29,238210,CA,C,0,2012-03-26
119919249,bbade448a9c767a53b38fa09,2012-03-23,238210,CA,H,0,2012-10-19
119919421,4cfe43ffa98a4ac529a0ba09,2011-08-29,238210,CA,C,0,2012-03-26
119919439,fc35c3ee18b1933a9317429c,2011-08-29,238210,CA,C,0,2012-03-26
119919454,ee6ce55503987ae1b0c13a1c,2011-10-13,2211_other,CA,A,0,2012-05-10
119919744,97e4663c796454c2dee9a22b,2012-07-11,238210,CA,G,0,2013-02-06
119920031,31d496bc18f176539640336f,2012-08-15,238210,CA,I,0,2013-03-13
119920130,67b117930db6b3c9c9042e27,2012-10-19,238210,CA,I,0,2013-05-17
119920312,bbade448a9c767a53b38fa09,2013-06-17,238210,CA,C,0,2014-01-13
119920346,ef45296f1ef09bbc9bd8cf34,2013-06-17,238210,CA,C,1,2013-08-07
119920569,67b117930db6b3c9c9042e27,2013-08-28,238210,CA,A,0,2014-03-26
119920593,fc3215e1f069d5ebd86486f6,2013-08-27,237130,CA,A,0,2014-03-25
119920759,b9b10e1a944672a5a104a00c,2012-08-16,238210,CA,I,1,2012-09-28
119920981,d4188ef71712ef79e3338474,2014-02-03,238210,CA,H,0,2014-09-01
120145131,b3312626b8c56fed7c0eabf5,2014-08-12,238210,CA,C,1,2014-10-05
120204086,dbb326d01dfb368a6816c3a5,2010-03-23,237130,CA,B,1,2010-05-05
120215603,9c6e165d622ee3b515125f6f,2010-09-07,238210,CA,A,1,2011-03-19
120216320,ea3eccabb7c5ad87f647ee48,2010-07-22,238210,CA,H,0,2011-02-17
120216361,01d668dabe50e52c8b28416d,2010-06-03,238210,CA,H,0,2010-12-30
120250550,f44e382ed491cd478a7ed6f0,2011-03-09,238210,CA,H,1,2011-05-05
122393002,0c3c932bf237418446def4d2,2011-06-16,238210,WI,I,1,2011-11-13
123439820,6c4f48905f388254e33e3a44,2012-03-14,238210,AR,I,0,2012-10-10
125472688,0971d0328a0c20301d26a95b,2012-07-18,2211_other,CA,A,0,2013-02-13
125472753,1b88b363d9984bcbb9b77128,2013-05-10,238210,CA,A,1,2013-09-11
125473371,215c0e7cfddeb972f6ecda17,2011-09-02,238210,CA,A,0,2012-03-30
125473744,7f75c16fcd8b56fdcba33ca6,2011-08-31,238210,CA,H,0,2012-03-28
125474924,c9a663cf99301611d933981b,2010-11-04,238210,CA,G,1,2011-02-13
125478495,92fe705c9bec4d3dbc84153f,2010-04-28,238210,CA,H,0,2010-11-24
125479162,6cb06ae4b9f9cdedf11917ce,2010-04-15,238210,CA,A,0,2010-11-11
125479444,92f94f8cc872c8eba9aceef3,2010-06-02,238210,CA,H,0,2010-12-29
125479543,6babc9004a62cb93771027d0,2010-06-03,238210,CA,H,0,2010-12-30
125485201,e2990ef461fe2db1574b3dde,2010-12-30,238210,CA,A,0,2011-07-28
125485953,54a543e3864b22d2291b8366,2012-02-02,238210,CA,H,1,2012-04-13
125485995,623ab0348a7faacc5149e796,2012-02-24,238210,CA,H,1,2012-04-13
125821884,814b6434d774cf1afc10c6cb,2014-08-13,238210,CA,C,0,2015-03-11
125826008,dcd57b4dfd2b8cb62cc21a9a,2010-02-03,237130,CA,H,1,2010-03-25
125826065,e44298f52bc18a052fd192d6,2010-04-06,237130,CA,A,0,2010-11-02
125826669,7de945b36b11fa4e253c7daa,2010-07-28,2211_other,CA,H,0,2011-02-23
125826701,b94da964ba18a5a42c4e6369,2010-07-27,238210,CA,H,1,2010-09-04
125827071,78b3233c959a37eebb1e2742,2010-09-15,238210,CA,B,1,2010-12-05
125827493,58784cab366f405d4fdb8476,2011-06-14,238210,CA,H,1,2011-07-30
125827501,9da7556bfe6d7895f670517f,2011-06-22,238210,CA,A,0,2012-01-18
