split,quarter,candidate_total,mature_positive,mature_negative,immature_open_case,immature_other,mature_total,mature_rate,maturity_boundary
embargo,2023Q2,164,0.0,0.0,0,164,0,0.0,2026-08-15 06:41:46.741079
embargo,2023Q3,176,0.0,0.0,0,176,0,0.0,2026-08-15 06:41:46.741079
embargo,2023Q4,131,0.0,0.0,1,130,0,0.0,2026-08-15 06:41:46.741079
test,2024Q1,172,,,0,0,172,1.0,2026-08-15 06:41:46.741079
test,2024Q2,167,,,0,0,167,1.0,2026-08-15 06:41:46.741079
test,2024Q3,160,,,0,0,160,1.0,2026-08-15 06:41:46.741079
test,2024Q4,143,,,0,0,143,1.0,2026-08-15 06:41:46.741079
test,2025Q1,179,,,0,0,179,1.0,2026-08-15 06:41:46.741079
test,2025Q2,143,,,0,0,143,1.0,2026-08-15 06:41:46.741079
test,2025Q3,139,,,2,0,137,0.9856115107913669,2026-08-15 06:41:46.741079
test,2025Q4,105,,,2,0,103,0.9809523809523809,2026-08-15 06:41:46.741079
train,2015Q1,226,118.0,108.0,0,0,226,1.0,2024-01-01 00:00:00.000000
train,2015Q2,254,157.0,96.0,1,0,253,0.9960629921259843,2024-01-01 00:00:00.000000
train,2015Q3,231,115.0,116.0,0,0,231,1.0,2024-01-01 00:00:00.000000
train,2015Q4,192,122.0,70.0,0,0,192,1.0,2024-01-01 00:00:00.000000
train,2016Q1,230,122.0,107.0,1,0,229,0.9956521739130435,2024-01-01 00:00:00.000000
train,2016Q2,211,108.0,99.0,4,0,207,0.981042654028436,2024-01-01 00:00:00.000000
train,2016Q3,137,70.0,65.0,2,0,135,0.9854014598540146,2024-01-01 00:00:00.000000
train,2016Q4,174,96.0,78.0,0,0,174,1.0,2024-01-01 00:00:00.000000
train,2017Q1,232,134.0,98.0,0,0,232,1.0,2024-01-01 00:00:00.000000
train,2017Q2,208,114.0,94.0,0,0,208,1.0,2024-01-01 00:00:00.000000
train,2017Q3,188,111.0,76.0,1,0,187,0.9946808510638298,2024-01-01 00:00:00.000000
train,2017Q4,163,90.0,73.0,0,0,163,1.0,2024-01-01 00:00:00.000000
train,2018Q1,202,120.0,80.0,2,0,200,0.9900990099009901,2024-01-01 00:00:00.000000
train,2018Q2,162,103.0,56.0,3,0,159,0.9814814814814815,2024-01-01 00:00:00.000000
train,2018Q3,196,93.0,100.0,3,0,193,0.9846938775510204,2024-01-01 00:00:00.000000
train,2018Q4,172,94.0,77.0,1,0,171,0.9941860465116279,2024-01-01 00:00:00.000000
train,2019Q1,183,110.0,73.0,0,0,183,1.0,2024-01-01 00:00:00.000000
train,2019Q2,203,107.0,95.0,1,0,202,0.9950738916256158,2024-01-01 00:00:00.000000
train,2019Q3,163,78.0,84.0,1,0,162,0.9938650306748467,2024-01-01 00:00:00.000000
train,2019Q4,162,90.0,72.0,0,0,162,1.0,2024-01-01 00:00:00.000000
train,2020Q1,172,107.0,65.0,0,0,172,1.0,2024-01-01 00:00:00.000000
train,2020Q2,61,38.0,23.0,0,0,61,1.0,2024-01-01 00:00:00.000000
train,2020Q3,65,35.0,30.0,0,0,65,1.0,2024-01-01 00:00:00.000000
train,2020Q4,75,48.0,26.0,1,0,74,0.9866666666666667,2024-01-01 00:00:00.000000
train,2021Q1,119,67.0,52.0,0,0,119,1.0,2024-01-01 00:00:00.000000
train,2021Q2,114,70.0,42.0,2,0,112,0.9824561403508771,2024-01-01 00:00:00.000000
train,2021Q3,98,53.0,43.0,2,0,96,0.9795918367346939,2024-01-01 00:00:00.000000
train,2021Q4,88,53.0,35.0,0,0,88,1.0,2024-01-01 00:00:00.000000
validation,2022Q1,131,88.0,42.0,0,1,130,0.9923664122137404,2024-01-01 00:00:00.000000
validation,2022Q2,136,87.0,49.0,0,0,136,1.0,2024-01-01 00:00:00.000000
validation,2022Q3,172,88.0,84.0,0,0,172,1.0,2024-01-01 00:00:00.000000
validation,2022Q4,104,64.0,38.0,0,2,102,0.9807692307692307,2024-01-01 00:00:00.000000
validation,2023Q1,143,89.0,52.0,0,2,141,0.986013986013986,2024-01-01 00:00:00.000000
