unique_key,stage,split,quarter,method_or_comparison,metric,value,source_file,source_row,source_column,source_sha256
data_flow|all|all|Inspection原始行|n|样本排除流.csv|2,data_flow,all,all,Inspection原始行,n,1365781,结果/01_数据审计/样本排除流.csv,2,n,41ad639b115e106b8a4ebdbaae95f5d7d6d6b83c33c932ee22ce2be3141fc2a9
data_flow|all|all|全量Inspection磁盘暂存行|n|样本排除流.csv|3,data_flow,all,all,全量Inspection磁盘暂存行,n,1365781,结果/01_数据审计/样本排除流.csv,3,n,41ad639b115e106b8a4ebdbaae95f5d7d6d6b83c33c932ee22ce2be3141fc2a9
data_flow|all|all|最新行仍属于目标行业|n|样本排除流.csv|4,data_flow,all,all,最新行仍属于目标行业,n,37517,结果/01_数据审计/样本排除流.csv,4,n,41ad639b115e106b8a4ebdbaae95f5d7d6d6b83c33c932ee22ce2be3141fc2a9
data_flow|all|all|目标行业activity_nr去重后|n|样本排除流.csv|5,data_flow,all,all,目标行业activity_nr去重后,n,37517,结果/01_数据审计/样本排除流.csv,5,n,41ad639b115e106b8a4ebdbaae95f5d7d6d6b83c33c932ee22ce2be3141fc2a9
data_flow|all|all|互斥行业组|n|样本排除流.csv|6,data_flow,all,all,互斥行业组,n,37517,结果/01_数据审计/样本排除流.csv,6,n,41ad639b115e106b8a4ebdbaae95f5d7d6d6b83c33c932ee22ce2be3141fc2a9
data_flow|all|all|实际检查scope|n|样本排除流.csv|7,data_flow,all,all,实际检查scope,n,35919,结果/01_数据审计/样本排除流.csv,7,n,41ad639b115e106b8a4ebdbaae95f5d7d6d6b83c33c932ee22ce2be3141fc2a9
data_flow|all|all|主候选Planned检查|n|样本排除流.csv|8,data_flow,all,all,主候选Planned检查,n,15140,结果/01_数据审计/样本排除流.csv,8,n,41ad639b115e106b8a4ebdbaae95f5d7d6d6b83c33c932ee22ce2be3141fc2a9
data_flow|all|all|entity×quarter episode|n|样本排除流.csv|9,data_flow,all,all,entity×quarter episode,n,14664,结果/01_数据审计/样本排除流.csv,9,n,41ad639b115e106b8a4ebdbaae95f5d7d6d6b83c33c932ee22ce2be3141fc2a9
data_flow|all|all|成熟Train/Validation/Test|n|样本排除流.csv|10,data_flow,all,all,成熟Train/Validation/Test,n,6541,结果/01_数据审计/样本排除流.csv,10,n,41ad639b115e106b8a4ebdbaae95f5d7d6d6b83c33c932ee22ce2be3141fc2a9
split_audit|embargo|2023Q2|all|candidate_total|时间切分审计.csv|2,split_audit,embargo,2023Q2,all,candidate_total,164,结果/01_数据审计/时间切分审计.csv,2,candidate_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q2|all|mature_positive|时间切分审计.csv|2,split_audit,embargo,2023Q2,all,mature_positive,0.0,结果/01_数据审计/时间切分审计.csv,2,mature_positive,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q2|all|mature_negative|时间切分审计.csv|2,split_audit,embargo,2023Q2,all,mature_negative,0.0,结果/01_数据审计/时间切分审计.csv,2,mature_negative,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q2|all|immature_open_case|时间切分审计.csv|2,split_audit,embargo,2023Q2,all,immature_open_case,0,结果/01_数据审计/时间切分审计.csv,2,immature_open_case,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q2|all|immature_other|时间切分审计.csv|2,split_audit,embargo,2023Q2,all,immature_other,164,结果/01_数据审计/时间切分审计.csv,2,immature_other,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q2|all|mature_total|时间切分审计.csv|2,split_audit,embargo,2023Q2,all,mature_total,0,结果/01_数据审计/时间切分审计.csv,2,mature_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q2|all|mature_rate|时间切分审计.csv|2,split_audit,embargo,2023Q2,all,mature_rate,0.0,结果/01_数据审计/时间切分审计.csv,2,mature_rate,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q2|all|n|时间切分审计.csv|2,split_audit,embargo,2023Q2,all,n,0,结果/01_数据审计/时间切分审计.csv,2,n,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q3|all|candidate_total|时间切分审计.csv|3,split_audit,embargo,2023Q3,all,candidate_total,176,结果/01_数据审计/时间切分审计.csv,3,candidate_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q3|all|mature_positive|时间切分审计.csv|3,split_audit,embargo,2023Q3,all,mature_positive,0.0,结果/01_数据审计/时间切分审计.csv,3,mature_positive,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q3|all|mature_negative|时间切分审计.csv|3,split_audit,embargo,2023Q3,all,mature_negative,0.0,结果/01_数据审计/时间切分审计.csv,3,mature_negative,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q3|all|immature_open_case|时间切分审计.csv|3,split_audit,embargo,2023Q3,all,immature_open_case,0,结果/01_数据审计/时间切分审计.csv,3,immature_open_case,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q3|all|immature_other|时间切分审计.csv|3,split_audit,embargo,2023Q3,all,immature_other,176,结果/01_数据审计/时间切分审计.csv,3,immature_other,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q3|all|mature_total|时间切分审计.csv|3,split_audit,embargo,2023Q3,all,mature_total,0,结果/01_数据审计/时间切分审计.csv,3,mature_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q3|all|mature_rate|时间切分审计.csv|3,split_audit,embargo,2023Q3,all,mature_rate,0.0,结果/01_数据审计/时间切分审计.csv,3,mature_rate,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q3|all|n|时间切分审计.csv|3,split_audit,embargo,2023Q3,all,n,0,结果/01_数据审计/时间切分审计.csv,3,n,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q4|all|candidate_total|时间切分审计.csv|4,split_audit,embargo,2023Q4,all,candidate_total,131,结果/01_数据审计/时间切分审计.csv,4,candidate_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q4|all|mature_positive|时间切分审计.csv|4,split_audit,embargo,2023Q4,all,mature_positive,0.0,结果/01_数据审计/时间切分审计.csv,4,mature_positive,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q4|all|mature_negative|时间切分审计.csv|4,split_audit,embargo,2023Q4,all,mature_negative,0.0,结果/01_数据审计/时间切分审计.csv,4,mature_negative,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q4|all|immature_open_case|时间切分审计.csv|4,split_audit,embargo,2023Q4,all,immature_open_case,1,结果/01_数据审计/时间切分审计.csv,4,immature_open_case,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q4|all|immature_other|时间切分审计.csv|4,split_audit,embargo,2023Q4,all,immature_other,130,结果/01_数据审计/时间切分审计.csv,4,immature_other,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q4|all|mature_total|时间切分审计.csv|4,split_audit,embargo,2023Q4,all,mature_total,0,结果/01_数据审计/时间切分审计.csv,4,mature_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q4|all|mature_rate|时间切分审计.csv|4,split_audit,embargo,2023Q4,all,mature_rate,0.0,结果/01_数据审计/时间切分审计.csv,4,mature_rate,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|embargo|2023Q4|all|n|时间切分审计.csv|4,split_audit,embargo,2023Q4,all,n,0,结果/01_数据审计/时间切分审计.csv,4,n,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2024Q1|all|candidate_total|时间切分审计.csv|5,split_audit,test,2024Q1,all,candidate_total,172,结果/01_数据审计/时间切分审计.csv,5,candidate_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2024Q1|all|immature_open_case|时间切分审计.csv|5,split_audit,test,2024Q1,all,immature_open_case,0,结果/01_数据审计/时间切分审计.csv,5,immature_open_case,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
