检查编号,数据快照,数据集,官方数据集ID,正式字段名,官方数据类型,官方预期类型,官方字段定义,本次文件列名,实际读取类型,非空数量,空值数量,唯一值数量,无法解析数量,异常值数量,时间可用角色,是否进入特征,检查规则,检查结果,问题编号,检查人,复核人,复核日期,字段字典版本,备注
INSP20260815_01,OSHA_20260815_01,inspection,10334,activity_nr,字符串,字符串,检查唯一编号,activity_nr,str,1365781,0,1365781,0,0,标识,否,缺失/重复/科学计数,通过,NA,待核对,冯婧,2026/8/19,V2.0,无缺失无重复无科学计数
INSP20260815_02,OSHA_20260815_01,inspection,10334,open_date,日期,日期,检查开始日期,open_date,str,1365781,0,NA,0,0,候选池/标签,否,解析/范围,通过,NA,待核对,冯婧,2026/8/19,V2.0,范围2010-01-01~2026-08-11；未来日期0
INSP20260815_03,OSHA_20260815_01,inspection,10334,close_case_date,日期,日期,案件关闭日期,close_case_date,str,1288751,77030,NA,77031,161,标签成熟,否,解析/逻辑,注意,ISSUE_20260815_001,待核对,冯婧,2026/8/19,V2.0,缺失5.64%；161条早于open_date；未来日期0；无法解析原值为空
INSP20260815_04,OSHA_20260815_01,inspection,10334,naics_code,字符串,字符串,行业代码,naics_code,str,1363745,2036,NA,0,2,候选池,否,6位/格式,注意,ISSUE_20260815_001,待核对,冯婧,2026/8/19,V2.0,"缺失2036；非6位2038含缺失；非缺失异常值2条(3261,23622)"
INSP20260815_05,OSHA_20260815_01,inspection,10334,insp_type,字符串,字符串,检查类型,insp_type,str,1365770,11,NA,0,11,候选池,否,取值分布,注意,ISSUE_20260815_001,待核对,冯婧,2026/8/19,V2.0,H=595287 主分析；其余按规则排除；缺失11
INSP20260815_06,OSHA_20260815_01,inspection,10334,insp_scope,字符串,字符串,检查范围,insp_scope,str,1365781,0,NA,0,0,候选池,否,取值分布,通过,NA,待核对,冯婧,2026/8/19,V2.0,"A=379145,B=873934,C=5552,D=107150"
INSP20260815_07,OSHA_20260815_01,inspection,10334,why_no_insp,字符串,字符串,未实际检查原因,why_no_insp,str,1030276,335505,NA,0,0,审计,否,与scope D一致性,通过,NA,待核对,冯婧,2026/8/19,V2.0,scope D 107150条全部有原因；对实际检查非必填属正常
INSP20260815_08,OSHA_20260815_01,inspection,10334,estab_name,字符串,字符串,单位名称,estab_name,str,1365779,2,NA,0,0,受限标识,否,缺失率,通过,NA,待核对,冯婧,2026/8/19,V2.0,缺失2；短名948条属正常(如3M)
INSP20260815_09,OSHA_20260815_01,inspection,10334,mail_street,字符串,字符串,邮寄街道,mail_street,str,1256226,109555,NA,0,0,受限标识,否,缺失率/PO Box,注意,NA,待核对,冯婧,2026/8/19,V2.0,缺失8.02%；PO Box 152234条(实体构造参考)
INSP20260815_10,OSHA_20260815_01,inspection,10334,mail_zip,字符串,字符串,邮寄邮编,mail_zip,str,1363613,2168,NA,0,0,受限标识,否,格式,注意,NA,待核对,冯婧,2026/8/19,V2.0,缺失0.16%；非缺失值全部为5位或5+4格式
INSP20260815_11,OSHA_20260815_01,inspection,10334,site_address,字符串,字符串,现场街道,site_address,str,1364736,1045,NA,0,0,受限审计,否,缺失率,通过,NA,待核对,冯婧,2026/8/19,V2.0,缺失0.08%
INSP20260815_12,OSHA_20260815_01,inspection,10334,site_zip,字符串,字符串,现场邮编,site_zip,str,1363849,1932,NA,0,0,受限审计,否,格式,注意,NA,待核对,冯婧,2026/8/19,V2.0,缺失0.14%；非缺失值格式正常
INSP20260815_13,OSHA_20260815_01,inspection,10334,site_state,分类,分类,检查所在州,site_state,str,1365614,167,58,0,50,Context,否,代码表,注意,ISSUE_20260815_001,待核对,冯婧,2026/8/19,V2.0,缺失167；唯一值58；'UK'×50 非美国州代码
INSP20260815_14,OSHA_20260815_01,inspection,10334,reporting_id,分类,分类,报告辖区,reporting_id,str,1365781,0,NA,0,0,审计,否,缺失,通过,NA,待核对,冯婧,2026/8/19,V2.0,无缺失
INSP20260815_15,OSHA_20260815_01,inspection,10334,host_est_key,字符串,字符串,系统内部单位键,host_est_key,str,1365781,0,NA,0,0,审计,否,缺失,通过,NA,待核对,冯婧,2026/8/19,V2.0,无缺失
INSP20260815_16,OSHA_20260815_01,inspection,10334,元数据列对齐,NA,NA,官方65行元数据中inspection列,（36列）,str,NA,NA,NA,NA,0,审计,否,与官方元数据逐列比对,通过,NA,待核对,冯婧,2026/8/19,V2.0,36列与官方元数据完全一致，无缺失无多余
INSP20260815_17,OSHA_20260815_01,inspection,10334,load_dt,字符串,字符串,数据加载时间,load_dt,str,1365781,0,NA,0,0,审计,否,缺失/as-of,通过,NA,待核对,冯婧,2026/8/19,V2.0,as-of=2026-08-14 04:23:08 UTC
INSP20260815_18,OSHA_20260815_01,inspection,10334,state_flag,字符串,字符串,官方元数据注明当前未填充字段,state_flag,str,0,1365781,1,0,0,审计,否,空值/取值,通过,NA,待核对,冯婧,2026/8/19,V2.0,全部1365781行为空；与官方元数据'未填充'说明一致
VIO20260815_01,OSHA_20260815_01,violation,10338,activity_nr,字符串,字符串,对应检查编号,activity_nr,str,2861703,0,2861703,0,0,标识,否,缺失/连接,通过,NA,待核对,冯婧,2026/8/19,V2.0,"无缺失；(activity_nr,citation_id)组合零重复"
VIO20260815_02,OSHA_20260815_01,violation,10338,citation_id,字符串,字符串,citation明细标识,citation_id,str,2861703,0,NA,0,0,标识,否,缺失/去重,通过,NA,待核对,冯婧,2026/8/19,V2.0,无缺失；组合键零重复
VIO20260815_03,OSHA_20260815_01,violation,10338,issuance_date,日期,日期,citation签发日期,issuance_date,str,2861703,0,NA,0,0,标签,否,解析/未来,通过,NA,待核对,冯婧,2026/8/19,V2.0,范围2010-01-01~2026-07-13；无未来日期
VIO20260815_04,OSHA_20260815_01,violation,10338,delete_flag,分类,分类,Violation Deleted Indicator,delete_flag,str,141775,2719928,2,0,0,审计,否,取值/语义,通过,NA,待核对,冯婧,2026/8/19,V2.0,空=未删除(95.0%)，X=已删除(141775)；无其他异常值
VIO20260815_05,OSHA_20260815_01,violation,10338,standard,字符串,字符串,OSHA Standard Cited,standard,str,2861654,49,NA,0,49,描述,否,缺失/覆盖率,注意,ISSUE_20260815_005,待核对,冯婧,2026/8/19,V2.0,缺失49(0.002%)
VIO20260815_06,OSHA_20260815_01,violation,10338,viol_type,分类,分类,Violation Type,viol_type,str,2861688,15,NA,0,15,描述,否,缺失/分布,注意,ISSUE_20260815_005,待核对,冯婧,2026/8/19,V2.0,"缺失15(0.001%)；S=1771619,O=992984,R=84639,W=11650"
