classification_record_id,数据快照,分类规则版本,standard原值,standard规范值,viol_type,citation汇总数,当前删除状态汇总数,官方标准说明入口,初分人员,初分主类,初分副类1,初分副类2,初分命中规则编号,初分信心,初分是否不确定,初分不确定原因,初分依据,复核人员,复核主类,复核副类1,复核副类2,复核命中规则编号,复核信心,复核是否不确定,复核不确定原因,复核依据,是否主类一致,是否全部一致,最终主类,最终副类1,最终副类2,裁定命中规则编号,裁定依据,裁定人,专业复核人,是否Other或Unmapped,未映射原因,初分文件SHA256,复核文件SHA256,初分日期,复核日期,裁定日期,状态,备注
C000001,,v6-OSHA官网验证版,,,S,1,0,,刘诗曼,R9,,,R9,低,是,无法解析标准编号,无法解析标准编号,冯婧,R9,NA,NA,R9,低,是,standard值为空,standard值为空,是,否,R9,,,R9,双方一致,刘诗曼,,是,无法解析标准编号,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000002,,v6-OSHA官网验证版,024005670103,024005670103,S,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0240 低压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 024005670103,非目标标准体系: 024005670103,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000003,,v6-OSHA官网验证版,0240096005,0240096005,S,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0240 低压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0240096005,非目标标准体系: 0240096005,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000004,,v6-OSHA官网验证版,0240096006,0240096006,S,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0240 低压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0240096006,非目标标准体系: 0240096006,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000005,,v6-OSHA官网验证版,0240097502 B   04B,0240097502 B   04B,S,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0240 低压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0240097502 B   04B,非目标标准体系: 0240097502 B   04B,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000006,,v6-OSHA官网验证版,0242400705,0242400705,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0242 低压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0242400705,非目标标准体系: 0242400705,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000007,,v6-OSHA官网验证版,0242401503 I,0242401503 I,S,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0242 低压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0242401503 I,非目标标准体系: 0242401503 I,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000008,,v6-OSHA官网验证版,0243300905 C,0243300905 C,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0243 低压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0243300905 C,非目标标准体系: 0243300905 C,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000009,,v6-OSHA官网验证版,024956090702   03,024956090702   03,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0249 低压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 024956090702   03,非目标标准体系: 024956090702   03,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000010,,v6-OSHA官网验证版,0270110101,0270110101,O,9,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0270 低压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0270110101,非目标标准体系: 0270110101,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000011,,v6-OSHA官网验证版,0270110702 D,0270110702 D,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0270 低压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0270110702 D,非目标标准体系: 0270110702 D,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000012,,v6-OSHA官网验证版,0270111901,0270111901,O,4,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0270 低压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0270111901,非目标标准体系: 0270111901,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000013,,v6-OSHA官网验证版,0270111902 A,0270111902 A,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0270 低压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0270111902 A,非目标标准体系: 0270111902 A,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000014,,v6-OSHA官网验证版,0270111902 B,0270111902 B,O,2,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0270 低压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0270111902 B,非目标标准体系: 0270111902 B,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000015,,v6-OSHA官网验证版,0270210501,0270210501,O,6,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0270 低压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0270210501,非目标标准体系: 0270210501,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000016,,v6-OSHA官网验证版,0270210502 B,0270210502 B,O,3,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0270 低压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0270210502 B,非目标标准体系: 0270210502 B,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000017,,v6-OSHA官网验证版,0270210502 F,0270210502 F,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0270 低压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0270210502 F,非目标标准体系: 0270210502 F,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000018,,v6-OSHA官网验证版,0320022009 A,0320022009 A,S,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320022009 A,非目标标准体系: 0320022009 A,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000019,,v6-OSHA官网验证版,0320022010 A   03,0320022010 A   03,S,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320022010 A   03,非目标标准体系: 0320022010 A   03,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000020,,v6-OSHA官网验证版,0320023003,0320023003,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320023003,非目标标准体系: 0320023003,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000021,,v6-OSHA官网验证版,0320023003,0320023003,S,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320023003,非目标标准体系: 0320023003,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000022,,v6-OSHA官网验证版,0320023004 C,0320023004 C,R,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320023004 C,非目标标准体系: 0320023004 C,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000023,,v6-OSHA官网验证版,032002300403,032002300403,O,8,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 032002300403,非目标标准体系: 032002300403,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000024,,v6-OSHA官网验证版,032002300403,032002300403,S,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 032002300403,非目标标准体系: 032002300403,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000025,,v6-OSHA官网验证版,0320023005,0320023005,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320023005,非目标标准体系: 0320023005,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000026,,v6-OSHA官网验证版,0320023005,0320023005,S,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320023005,非目标标准体系: 0320023005,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000027,,v6-OSHA官网验证版,0320024001 A,0320024001 A,O,2,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320024001 A,非目标标准体系: 0320024001 A,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000028,,v6-OSHA官网验证版,0320024001 A,0320024001 A,R,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320024001 A,非目标标准体系: 0320024001 A,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000029,,v6-OSHA官网验证版,0320024001 A,0320024001 A,S,3,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320024001 A,非目标标准体系: 0320024001 A,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000030,,v6-OSHA官网验证版,0320025001,0320025001,O,2,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320025001,非目标标准体系: 0320025001,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000031,,v6-OSHA官网验证版,0320025001 C,0320025001 C,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320025001 C,非目标标准体系: 0320025001 C,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000032,,v6-OSHA官网验证版,032002500102,032002500102,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 032002500102,非目标标准体系: 032002500102,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000033,,v6-OSHA官网验证版,0320025002,0320025002,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320025002,非目标标准体系: 0320025002,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
