sample_id,split,recalculated_score,risk_score,risk_percentile,diff
bd9c105e9b107348fc1b,train,0.7828488712379614,0.782849,98.3,1.2876203858702695e-07
2888948246bd979d2588,train,0.6054677136143556,0.605468,55.7,2.863856444212942e-07
6f7aa05bff8246a8c6a9,train,0.6091197144408445,0.60912,56.8,2.855591555439574e-07
2a103d1a42350074e9bc,train,0.49059963322559397,0.4906,11.5,3.667744060131817e-07
647585d928c1b1b6e978,train,0.5794781111129969,0.579478,16.0,1.1111299680344189e-07
152ed941536bbd0f6a6d,train,0.6077695247861009,0.60777,58.2,4.752138991204191e-07
1e0037675f054765c7cb,train,0.5709617059662785,0.570962,13.5,2.940337214818456e-07
0d7a7c7604b5a576de18,train,0.6091197144408445,0.60912,56.4,2.855591555439574e-07
b8d84b54f6e8b12983a5,train,0.5156039828850641,0.515604,9.2,1.7114935801920694e-08
b1c08c630feed2502475,train,0.6077695247861009,0.60777,57.4,4.752138991204191e-07
aa93dedee997a3261498,train,0.3305135130427774,0.330514,4.3,4.869572226007257e-07
c95022d47d858a817520,train,0.4303467365697059,0.430347,10.0,2.634302940784927e-07
6715d453f016254feb68,train,0.49296271607471676,0.492963,12.0,2.8392528322873645e-07
a0af527e84b87bd021a5,validation,0.48652276574144454,0.486523,15.1,2.3425855544267904e-07
33758450dc38676f0040,train,0.6855942541773431,0.685594,95.6,2.541773430619898e-07
63783dd651d2d9aca775,train,0.6091197144408445,0.60912,55.5,2.855591555439574e-07
50c0a3f8a48365cd1528,train,0.6054677136143556,0.605468,53.4,2.863856444212942e-07
d6be69f1d91dcd8d3d51,train,0.6077695247861009,0.60777,54.6,4.752138991204191e-07
1cca26573d0d44b5a207,train,0.6077695247861009,0.60777,55.6,4.752138991204191e-07
e8d8ec5673769d1f9139,train,0.5945514493293342,0.594551,10.2,4.493293341845117e-07
4525eef97496eb017f1a,train,0.6077695247861009,0.60777,57.4,4.752138991204191e-07
e245550ea4ed0e9bf411,train,0.8318445067362125,0.831845,98.8,4.932637874821566e-07
9dd32d5af8002d94bb1c,train,0.8489080833863658,0.848908,96.6,8.338636581228798e-08
03fb7955b02612f499a0,train,0.8485708312761457,0.848571,99.6,1.6872385422139757e-07
1885d8ddde4acdea2567,train,0.8737730600284443,0.873773,99.4,6.002844432639876e-08
2eaf539af5c5253339bd,train,0.8889511732051494,0.888951,100.0,1.7320514933416575e-07
46a4d8c1c7d139acf497,train,0.851533961551234,0.851534,100.0,3.8448766059850925e-08
6a26f77c828d0a76d0ca,train,0.8909174660078738,0.890917,100.0,4.660078738449869e-07
7e49c8970bf954f7ef46,train,0.6077695247861009,0.60777,55.7,4.752138991204191e-07
e2c57048f40ad3d7ea10,train,0.48719355931379354,0.487194,16.3,4.406862064709749e-07
4e40c50721512bf69813,train,0.6077695247861009,0.60777,55.7,4.752138991204191e-07
352fbd256224abb7d746,validation,0.6054677136143556,0.605468,59.3,2.863856444212942e-07
4025d17f72e50d8e4d9a,train,0.3695353082178475,0.369535,2.8,3.082178475222186e-07
1f3cac21366ee15a11cb,train,0.9070378169590437,0.907038,100.0,1.8304095628085548e-07
96b9b2a2474b1256e0b0,train,0.7054190130356548,0.705419,96.6,1.3035654777837635e-08
a0a31eca3d3b6cbe26e2,train,0.6077695247861009,0.60777,53.1,4.752138991204191e-07
7e02c54c65d58b102177,train,0.6054677136143556,0.605468,53.4,2.863856444212942e-07
3f8f93345bd08d13661b,train,0.6091197144408445,0.60912,56.8,2.855591555439574e-07
3e61529993faa3510cf2,train,0.5356626400542556,0.535663,55.8,3.599457444325438e-07
69d563291a031a4763ea,train,0.5356626400542556,0.535663,56.7,3.599457444325438e-07
c320a7bc031aa4104ffe,train,0.7317463038721762,0.731746,97.6,3.0387217619942675e-07
30faaf9ecdb39785322b,train,0.6091197144408445,0.60912,55.5,2.855591555439574e-07
d31b8fb8f863ad6cdc41,train,0.6077695247861009,0.60777,55.6,4.752138991204191e-07
a831354a507f44157877,validation,0.6091197144408445,0.60912,55.0,2.855591555439574e-07
f91e369a2b0c5eb1ee6d,train,0.5356626400542556,0.535663,56.9,3.599457444325438e-07
a5e7b9b35b42a56fb4b2,train,0.6054677136143556,0.605468,55.7,2.863856444212942e-07
04e05cb692c6e0beed0d,train,0.6077695247861009,0.60777,55.6,4.752138991204191e-07
18a07926ae7b9aae04cb,train,0.6054677136143556,0.605468,55.7,2.863856444212942e-07
170640b85b676ac3e979,train,0.6077695247861009,0.60777,54.6,4.752138991204191e-07
c7ac2815fb90e8371fda,train,0.6091197144408445,0.60912,56.4,2.855591555439574e-07
a2bea4bb4ab828d6e16a,train,0.6077695247861009,0.60777,55.6,4.752138991204191e-07
991e2faf7f9ed0b136cf,train,0.4680822375249502,0.468082,13.8,2.3752495020845643e-07
3d35a0abe9777382a2f9,train,0.6054677136143556,0.605468,53.1,2.863856444212942e-07
4d71d5831d6df0eed189,train,0.5356626400542556,0.535663,54.3,3.599457444325438e-07
95f9a9c5be1daf343ceb,train,0.5356626400542556,0.535663,56.7,3.599457444325438e-07
244252a4370f5f7254c0,validation,0.5004027450451208,0.500403,16.3,2.5495487920856874e-07
f59fc5890d9d9eaf46bf,train,0.6077695247861009,0.60777,54.6,4.752138991204191e-07
4b12c4419892bcd328ec,validation,0.5142487920140992,0.514249,11.5,2.0798590072423906e-07
5b3d5a9e405e1c26249d,train,0.6091197144408445,0.60912,56.8,2.855591555439574e-07
e1505dcb839472c7b2a0,validation,0.6077695247861009,0.60777,56.6,4.752138991204191e-07
500b925b9ace4bf615cd,train,0.6054677136143556,0.605468,59.9,2.863856444212942e-07
b57f840b087624697c4e,train,0.6077695247861009,0.60777,54.6,4.752138991204191e-07
f0a6bf74572bdfb2e475,train,0.6091197144408445,0.60912,56.8,2.855591555439574e-07
81a3260bee67d4c77377,train,0.6091197144408445,0.60912,55.5,2.855591555439574e-07
f5d7354b7eb43ccddf14,train,0.6077695247861009,0.60777,53.2,4.752138991204191e-07
e54148de8006b8b9f728,train,0.5718404948760507,0.57184,20.3,4.94876050693982e-07
6a84425b58e4eb123033,train,0.548637764580845,0.548638,94.3,2.3541915494806886e-07
293f5e79431d998d88fa,train,0.6131861990770955,0.613186,91.8,1.9907709547517527e-07
4719dd4c24c15cd545e3,train,0.8309223225891806,0.830922,98.3,3.225891805902492e-07
74d81800c536e6cd7ca3,validation,0.8643065545647682,0.864307,97.1,4.454352318106203e-07
f2c2a2587e518440dc1c,train,0.6091197144408445,0.60912,52.7,2.855591555439574e-07
9b71876c21f011786040,train,0.47215083976749767,0.472151,9.6,1.602325023219997e-07
29081e1e27431ad408ef,train,0.6054677136143556,0.605468,53.4,2.863856444212942e-07
c4eea6abb0281f5e8e16,train,0.7008151767044672,0.700815,97.4,1.7670446728068612e-07
240ada3667c0f89eeac9,train,0.6054677136143556,0.605468,59.9,2.863856444212942e-07
712426fc8d81240918a1,train,0.6091197144408445,0.60912,56.8,2.855591555439574e-07
58f80e3ec4fd3f925d54,train,0.6054677136143556,0.605468,53.4,2.863856444212942e-07
72867faef6ea4a04389c,train,0.5356626400542556,0.535663,54.3,3.599457444325438e-07
031c3c11525be988e4e5,train,0.4843682842394383,0.484368,14.2,2.842394382640556e-07
3561d0b7a34fab9af510,train,0.49155733875823593,0.491557,14.6,3.3875823590712173e-07
d83f5c33c509e93dab8c,train,0.5356626400542556,0.535663,56.7,3.599457444325438e-07
106cc7ceb13295d28009,train,0.5699435692991164,0.569944,18.0,4.30700883624624e-07
4bcea9cc4c9766c52942,train,0.5950421241468626,0.595042,21.6,1.2414686267891994e-07
1cba9f01ee1cf3cf0c6a,train,0.6054677136143556,0.605468,55.7,2.863856444212942e-07
91a9cd0cb851af95b53f,train,0.4223974081864941,0.422397,5.2,4.081864941052338e-07
2573fed5de45aaca2dd2,train,0.6054677136143556,0.605468,59.9,2.863856444212942e-07
59ba5eea7ee59d87cbe5,validation,0.6054677136143556,0.605468,59.3,2.863856444212942e-07
bc317ab90ed5e092c939,train,0.6054677136143556,0.605468,55.3,2.863856444212942e-07
8f187e6cb1647a54df18,train,0.6091197144408445,0.60912,59.9,2.855591555439574e-07
e28cb25b669d95f58489,train,0.6091197144408445,0.60912,56.8,2.855591555439574e-07
aae522657c3f43258298,train,0.6054677136143556,0.605468,55.3,2.863856444212942e-07
1a1bd35808a3a570f9d6,train,0.6091197144408445,0.60912,56.8,2.855591555439574e-07
59e81145a1b7333f989e,validation,0.4381536495955136,0.438154,12.2,3.504044863711364e-07
73642bdd80356980569e,train,0.6054677136143556,0.605468,55.2,2.863856444212942e-07
6c7dc0139e3228dd7e25,train,0.6054677136143556,0.605468,59.9,2.863856444212942e-07
de6cc60c18006453a30e,train,0.6054677136143556,0.605468,53.4,2.863856444212942e-07
75774431e29f194c2485,train,0.6054677136143556,0.605468,55.7,2.863856444212942e-07
583323befccecdfe6c69,train,0.6077695247861009,0.60777,55.6,4.752138991204191e-07
443867b1a959c56a7d41,train,0.3859408316636722,0.385941,8.1,1.683363277660277e-07
d4db9bfe16e2756f75d8,validation,0.6091197144408445,0.60912,55.0,2.855591555439574e-07
a949fb2e50b8f74a892b,train,0.5356626400542556,0.535663,56.7,3.599457444325438e-07
5ccd37adfaef87d00744,train,0.6054677136143556,0.605468,53.1,2.863856444212942e-07
04d776e75d6a780c87d8,train,0.5356626400542556,0.535663,54.3,3.599457444325438e-07
e5d03a25e3111ffa6a6e,train,0.5356626400542556,0.535663,55.8,3.599457444325438e-07
aa6a1cdd1520c3d11cb8,train,0.6077695247861009,0.60777,55.7,4.752138991204191e-07
08cfb7724cf1ef7fd3ac,validation,0.6091197144408445,0.60912,55.0,2.855591555439574e-07
dbcba598b9894e375081,train,0.3333180241948171,0.333318,5.2,2.4194817094258525e-08
9ba167faf6f640c41188,train,0.33220270193905527,0.332203,9.8,2.9806094475892664e-07
4108d533ccb58fc77102,train,0.6091197144408445,0.60912,56.6,2.855591555439574e-07
6b3ca28a4a1627b45e0b,train,0.6054677136143556,0.605468,53.1,2.863856444212942e-07
deffc74e03f5c06d13d5,train,0.7109013374472886,0.710901,95.0,3.3744728855644723e-07
aab84285ba33cbc155df,train,0.6054677136143556,0.605468,59.9,2.863856444212942e-07
39c3ae2345a6e6db1eae,train,0.6077695247861009,0.60777,55.6,4.752138991204191e-07
dda95cae4a4326eaeeaf,validation,0.6054677136143556,0.605468,59.3,2.863856444212942e-07
616e044431a2c3db2672,validation,0.5356626400542556,0.535663,54.7,3.599457444325438e-07
9cb581998b84f9f5d42b,train,0.6077695247861009,0.60777,54.6,4.752138991204191e-07
