查询,正确标准编号,正确条款,正确片段编号,核对人
1910.132,1910.132,1910.132,chunk_00001,刘诗曼
1910.133,1910.133,1910.133,chunk_00036,刘诗曼
1910.134,1910.134,1910.134,chunk_00049,刘诗曼
1910.135,1910.135,1910.135,chunk_00261,刘诗曼
1910.136,1910.136,1910.136,chunk_00271,刘诗曼
1910.137,1910.137,1910.137,chunk_00279,刘诗曼
1910.138,1910.138,1910.138,chunk_00344,刘诗曼
1910.147,1910.147,1910.147,chunk_00347,刘诗曼
1910.269,1910.269,1910.269,chunk_00468,刘诗曼
1910.301,1910.301,1910.301,chunk_01165,刘诗曼
1910.302,1910.302,1910.302,chunk_01171,刘诗曼
1910.303,1910.303,1910.303,chunk_01194,刘诗曼
1910.304,1910.304,1910.304,chunk_01309,刘诗曼
1910.305,1910.305,1910.305,chunk_01496,刘诗曼
1910.306,1910.306,1910.306,chunk_01684,刘诗曼
1910.307,1910.307,1910.307,chunk_01854,刘诗曼
1910.308,1910.308,1910.308,chunk_01933,刘诗曼
1910.331,1910.331,1910.331,chunk_02020,刘诗曼
1910.332,1910.332,1910.332,chunk_02034,刘诗曼
1910.333,1910.333,1910.333,chunk_02044,刘诗曼
1910.334,1910.334,1910.334,chunk_02107,刘诗曼
1910.335,1910.335,1910.335,chunk_02132,刘诗曼
1926.105,1926.105,1926.105,chunk_02149,刘诗曼
1926.1051,1926.1051,1926.1051,chunk_02152,刘诗曼
1926.1052,1926.1052,1926.1052,chunk_02159,刘诗曼
1926.1053,1926.1053,1926.1053,chunk_02193,刘诗曼
1926.106,1926.106,1926.106,chunk_02284,刘诗曼
1926.14,1926.14,1926.14,chunk_02293,刘诗曼
1926.1401,1926.1401,1926.1401,chunk_02327,刘诗曼
1926.1402,1926.1402,1926.1402,chunk_02328,刘诗曼
1926.1403,1926.1403,1926.1403,chunk_02339,刘诗曼
1926.1404,1926.1404,1926.1404,chunk_02342,刘诗曼
1926.1405,1926.1405,1926.1405,chunk_02403,刘诗曼
1926.1406,1926.1406,1926.1406,chunk_02408,刘诗曼
1926.1407,1926.1407,1926.1407,chunk_02414,刘诗曼
