standard_code,standard_normalized,r_category,r_category_name,basis
024005670103,024005670103,R1,电气危险与带电防护,加州8CCR 0240 低压电气
0240096005,0240096005,R1,电气危险与带电防护,加州8CCR 0240 低压电气
0240096006,0240096006,R1,电气危险与带电防护,加州8CCR 0240 低压电气
0240097502 B   04B,0240097502 B   04B,R1,电气危险与带电防护,加州8CCR 0240 低压电气
0242400705,0242400705,R1,电气危险与带电防护,加州8CCR 0242 低压电气
0242401503 I,0242401503 I,R1,电气危险与带电防护,加州8CCR 0242 低压电气
0243300905 C,0243300905 C,R1,电气危险与带电防护,加州8CCR 0243 低压电气
024956090702   03,024956090702   03,R1,电气危险与带电防护,加州8CCR 0249 低压电气
0270110101,0270110101,R1,电气危险与带电防护,加州8CCR 0270 低压电气
0270110702 D,0270110702 D,R1,电气危险与带电防护,加州8CCR 0270 低压电气
0270111901,0270111901,R1,电气危险与带电防护,加州8CCR 0270 低压电气
0270111902 A,0270111902 A,R1,电气危险与带电防护,加州8CCR 0270 低压电气
0270111902 B,0270111902 B,R1,电气危险与带电防护,加州8CCR 0270 低压电气
0270210501,0270210501,R1,电气危险与带电防护,加州8CCR 0270 低压电气
0270210502 B,0270210502 B,R1,电气危险与带电防护,加州8CCR 0270 低压电气
0270210502 F,0270210502 F,R1,电气危险与带电防护,加州8CCR 0270 低压电气
0320022009 A,0320022009 A,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320022010 A   03,0320022010 A   03,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320023003,0320023003,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320023004 C,0320023004 C,R1,电气危险与带电防护,加州8CCR 0320 高压电气
032002300403,032002300403,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320023005,0320023005,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320024001 A,0320024001 A,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320025001,0320025001,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320025001 C,0320025001 C,R1,电气危险与带电防护,加州8CCR 0320 高压电气
032002500102,032002500102,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320025002,0320025002,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320025009 C,0320025009 C,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320025009 D,0320025009 D,R1,电气危险与带电防护,加州8CCR 0320 高压电气
032002500901,032002500901,R1,电气危险与带电防护,加州8CCR 0320 高压电气
032002500905,032002500905,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320026001,0320026001,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320026002,0320026002,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320026004,0320026004,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320027001,0320027001,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320028009,0320028009,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320029003 C,0320029003 C,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320029003 D,0320029003 D,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320029003 F,0320029003 F,R1,电气危险与带电防护,加州8CCR 0320 高压电气
032002900306,032002900306,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320029004 A,0320029004 A,R1,电气危险与带电防护,加州8CCR 0320 高压电气
032002900401,032002900401,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320030004,0320030004,R1,电气危险与带电防护,加州8CCR 0320 高压电气
032003200401,032003200401,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320033001 A,0320033001 A,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320033008,0320033008,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320034002 A,0320034002 A,R1,电气危险与带电防护,加州8CCR 0320 高压电气
0320034002 B,0320034002 B,R1,电气危险与带电防护,加州8CCR 0320 高压电气
19100269 A02,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02    I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02    IA,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02   IIA,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02   IID,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02   IVA,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02   IVB,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02   IVC,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02   VI,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02  III,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02  VII,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02 I A,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02 I B,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02 II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02 II A,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02 II C,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02 II D,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02 II E,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02 III,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02 IV,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02 IV B,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02 V,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02 V A,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02 V B,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02 VI,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02 VII,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02 VIII,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A02II   C,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A03,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A03 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A03 I A,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 A03 I B,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
