sample_id,quarter,cutoff_date,split,history_inspections_manual,history_inspections_program,history_positive_inspections_manual,history_positive_inspections_program,smoothed_rate_manual,smoothed_rate_program,days_since_last_insp_manual,days_since_last_insp_program,days_since_last_pos_manual,days_since_last_pos_program,inspections_365d_manual,inspections_365d_program,positives_365d_manual,positives_365d_program,inspections_730d_manual,inspections_730d_program,positives_730d_manual,positives_730d_program,decayed_inspections_manual,decayed_inspections_program,decayed_positives_manual,decayed_positives_program,是否一致,差异明细,复算人,复算日期,状态,备注
001299fc929fe39c8489,2016Q4,2016/10/1 0:00,train,0,0,0,0,0.5,0.5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,一致,无,冯婧,2026/8/20,已验证通过,"基于学生1交付证据卡人工复算；平滑率=(Y+α)/(N+α+β), α=β=1；半衰期365天"
0d56d137beb8a639c86d,2017Q1,2017/1/1 0:00,train,0,0,0,0,0.5,0.5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,一致,无,冯婧,2026/8/20,已验证通过,"基于学生1交付证据卡人工复算；平滑率=(Y+α)/(N+α+β), α=β=1；半衰期365天"
1afbf04d40242974961d,2020Q1,2020/1/1 0:00,train,0,0,0,0,0.5,0.5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,一致,无,冯婧,2026/8/20,已验证通过,"基于学生1交付证据卡人工复算；平滑率=(Y+α)/(N+α+β), α=β=1；半衰期365天"
277b33def42452411c8a,2017Q4,2017/10/1 0:00,train,0,0,0,0,0.5,0.5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,一致,无,冯婧,2026/8/20,已验证通过,"基于学生1交付证据卡人工复算；平滑率=(Y+α)/(N+α+β), α=β=1；半衰期365天"
34e6c83269b4720dc2c8,2020Q1,2020/1/1 0:00,train,0,0,0,0,0.5,0.5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,一致,无,冯婧,2026/8/20,已验证通过,"基于学生1交付证据卡人工复算；平滑率=(Y+α)/(N+α+β), α=β=1；半衰期365天"
42e432b976741058ce93,2019Q1,2019/1/1 0:00,train,0,0,0,0,0.5,0.5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,一致,无,冯婧,2026/8/20,已验证通过,"基于学生1交付证据卡人工复算；平滑率=(Y+α)/(N+α+β), α=β=1；半衰期365天"
50e7b018258418f392e3,2022Q1,2022/1/1 0:00,validation,0,0,0,0,0.5,0.5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,一致,无,冯婧,2026/8/20,已验证通过,"基于学生1交付证据卡人工复算；平滑率=(Y+α)/(N+α+β), α=β=1；半衰期365天"
5e4390b4f627a37c53fa,2016Q4,2016/10/1 0:00,train,0,0,0,0,0.5,0.5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,一致,无,冯婧,2026/8/20,已验证通过,"基于学生1交付证据卡人工复算；平滑率=(Y+α)/(N+α+β), α=β=1；半衰期365天"
6bc1e5216eb980546ffb,2017Q2,2017/4/1 0:00,train,0,0,0,0,0.5,0.5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,一致,无,冯婧,2026/8/20,已验证通过,"基于学生1交付证据卡人工复算；平滑率=(Y+α)/(N+α+β), α=β=1；半衰期365天"
783ad60de1381ca34362,2015Q2,2015/4/1 0:00,train,0,0,0,0,0.5,0.5,,,,,0,0,0,0,0,0,0,0,0,0,0,0,一致,无,冯婧,2026/8/20,已验证通过,"基于学生1交付证据卡人工复算；平滑率=(Y+α)/(N+α+β), α=β=1；半衰期365天"
