"Path","Size","MTime"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\8_24.md","4529","2026-08-24 14:24:38"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\待确认_学生1.md","3908","2026-08-23 22:25:34"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\待确认_学生2.md","3288","2026-08-23 22:23:44"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\待确认_学生3.md","3082","2026-08-23 22:23:47"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\发送给学生4_模型与评价.zip","3601475","2026-08-20 09:38:20"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\服务器运行与同步指南.md","7212","2026-08-23 23:41:52"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\会议汇报_阶段8_20260822.md","6904","2026-08-22 10:50:49"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\交付学生4.zip","834411","2026-08-20 15:35:53"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\阶段4学生3交付给学生4.zip","329978","2026-08-20 15:06:50"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\模型加载指令_除27B.pdf","149452","2026-08-24 11:38:04"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\发给学生4_R6修正.zip","267446","2026-08-22 11:23:03"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\学生4_确认包_20260824.zip","394243","2026-08-24 09:58:23"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\学生4_确认包_20260824\学生4_确认包_20260824\学生4_确认文档_20260824.md","6628","2026-08-24 09:54:22"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\学生4_确认包_20260824\学生4_确认包_20260824\agent_profile_whitelist.json","10896","2026-08-24 09:53:48"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\学生4_确认包_20260824\学生4_确认包_20260824\final_verification_report.txt","845","2026-08-24 09:53:48"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\学生4_确认包_20260824\学生4_确认包_20260824\final_verify.py","7717","2026-08-24 09:53:48"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\学生4_确认包_20260824\学生4_确认包_20260824\profile_supplement_8fields.csv","1609589","2026-08-24 09:53:48"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\学生4_确认包_20260824\学生4_确认包_20260824\risk_score_verification.csv","438884","2026-08-24 09:53:48"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\学生4_确认包_20260824\学生4_确认包_20260824\standard_to_r1r9_mapping.csv","609569","2026-08-24 09:53:48"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\agent_profile_whitelist.json","9900","2026-08-21 14:20:24"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\profile_supplement_8fields.csv","1386509","2026-08-21 14:20:23"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\程序\00_download_official_data.py","12617","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\程序\01_prepare_data.py","39941","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\程序\02_build_profiles.py","53246","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\程序\03_fit_validate.py","10648","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\程序\04_run_sealed_test.py","23438","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\程序\05_make_paper_tables.py","20936","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\程序\add_open_approval.py","5094","2026-08-19 17:14:44"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\程序\config.yaml","2696","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\程序\pipeline_common.py","11235","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\程序\README_程序运行说明.md","6032","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\程序\requirements.txt","116","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\打包说明.md","1339","2026-08-19 19:11:44"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\共同材料\02_正式字段字典.md","9131","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\共同材料\03_行业筛选规则.md","4751","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\共同材料\04_风险分类规则.md","8805","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\共同材料\06_画像指标说明.md","6188","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\共同材料\07_模型评价指标说明.md","6434","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\共同材料\08_四川电力技术写作与格式说明.md","6913","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\共同材料\10_数据与结论边界.md","6821","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\共同材料\12_Test程序性隔离与访问规则.md","4357","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\记录表\测试开封记录.csv","2762","2026-08-19 17:13:56"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\记录表\结果核对.csv","3668","2026-08-19 16:22:14"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\记录表\实验运行.csv","13613","2026-08-19 17:14:44"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\记录表\数据快照记录.csv","1582","2026-08-19 17:24:20"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\记录表\数据问题.csv","9733","2026-08-19 16:25:28"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\记录表\样本筛选.csv","2674","2026-08-19 17:24:20"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\记录表\字段检查.csv","6531","2026-08-19 17:24:20"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_画像\防泄漏审计.json","1130","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_画像\画像案例索引.csv","210","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_画像\画像汇总.csv","1328","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_画像\画像指标分布.svg","99196","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_画像\画像作图数据.csv","467568","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_画像\图1_动态画像研究框架.svg","2435","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_画像\图3_匿名画像时间轨迹.svg","68072","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_论文图表\表1_样本排除流.csv","292","2026-08-19 16:18:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_论文图表\表2_画像指标说明.csv","7499","2026-08-19 16:18:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_论文图表\表3_Validation方法比较.csv","403","2026-08-19 16:18:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_论文图表\表4_Test方法比较.csv","936","2026-08-19 16:18:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_论文图表\表图来源清单.csv","2347","2026-08-19 16:18:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_论文图表\结果数字索引.csv","294335","2026-08-19 16:18:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_论文图表\图4_Test季度方法比较_作图数据.csv","2575","2026-08-19 16:18:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_论文图表\图4_Test季度方法比较.svg","38833","2026-08-19 16:18:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_数据审计\成熟度审计.csv","3287","2026-08-18 15:15:10"
